"price","year","mileage","diesel","hybrid","mt","front.drive","rear.drive","engine.power","engine.capacity","sedan","hatchback","wagon","coupe","cabriolet","minivan","pickup"
"133",1350000,2012,55000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"134",1239000,2012,75700,0,0,0,0,1,184,1.8,0,0,0,1,0,0,0
"135",960000,2010,144170,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"136",1450000,2011,74500,0,0,0,0,0,306,3.5,1,0,0,0,0,0,0
"137",1250000,2012,30959,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"138",1450000,2012,35000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"139",1359000,2011,81000,0,0,0,0,0,272,3.5,0,0,1,0,0,0,0
"140",1150000,2012,109000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"141",1180000,2010,79000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"142",1250000,2010,80000,0,0,0,0,1,231,3,1,0,0,0,0,0,0
"143",1070000,2010,77700,0,0,0,0,0,272,3.5,1,0,0,0,0,0,0
"144",1100000,2010,82000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"145",1040000,2011,60000,0,0,0,0,1,184,1.8,0,0,0,1,0,0,0
"146",1300000,2011,98000,0,0,0,0,1,231,3,1,0,0,0,0,0,0
"147",1290000,2012,75000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"148",1490000,2012,75000,0,0,0,0,0,306,3.5,1,0,0,0,0,0,0
"149",1320000,2012,94000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"150",1450000,2012,83500,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"151",1500000,2011,89000,0,0,0,0,0,306,3.5,1,0,0,0,0,0,0
"152",1200000,2011,115000,0,0,0,0,1,204,1.8,0,0,0,1,0,0,0
"153",1290000,2012,58000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"154",1e+06,2010,72000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"155",1400000,2012,44000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"156",1220000,2012,99000,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
"157",1100000,2012,210525,0,0,0,0,1,184,1.8,1,0,0,0,0,0,0
